customer_id,ship-city,ship-state,ship-postal-code,ship-country
1,MUMBAI,MAHARASHTRA,400081.0,IN
2,BENGALURU,KARNATAKA,560085.0,IN
3,NAVI MUMBAI,MAHARASHTRA,410210.0,IN
4,PUDUCHERRY,PUDUCHERRY,605008.0,IN
5,CHENNAI,TAMIL NADU,600073.0,IN
6,GHAZIABAD,UTTAR PRADESH,201102.0,IN
7,CHANDIGARH,CHANDIGARH,160036.0,IN
8,HYDERABAD,TELANGANA,500032.0,IN
9,HYDERABAD,TELANGANA,500008.0,IN
10,Chennai,TAMIL NADU,600041.0,IN
11,NOIDA,UTTAR PRADESH,201303.0,IN
12,Amravati.,MAHARASHTRA,444606.0,IN
13,MUMBAI,MAHARASHTRA,400053.0,IN
14,GUNTAKAL,ANDHRA PRADESH,515801.0,IN
15,JAIPUR,RAJASTHAN,302020.0,IN
16,NEW DELHI,DELHI,110074.0,IN
17,Gurgaon,HARYANA,122004.0,IN
18,BENGALURU,KARNATAKA,560017.0,IN
19,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN
20,BENGALURU,KARNATAKA,560040.0,IN
21,HYDERABAD,TELANGANA,500072.0,IN
22,pune,MAHARASHTRA,411044.0,IN
23,TEZPUR,ASSAM,784001.0,IN
24,RANCHI,JHARKHAND,834002.0,IN
25,BILASPUR,CHHATTISGARH,495001.0,IN
26,PUNE,MAHARASHTRA,411052.0,IN
27,BENGALURU,KARNATAKA,560037.0,IN
28,GUWAHATI,ASSAM,781003.0,IN
29,THIRUVARUR,TAMIL NADU,613704.0,IN
30,LUCKNOW,UTTAR PRADESH,226010.0,IN
31,VISAKHAPATNAM,ANDHRA PRADESH,530016.0,IN
32,JEYPUR,ODISHA,764001.0,IN
33,HYDERABAD,TELANGANA,500028.0,IN
34,LUCKNOW,UTTAR PRADESH,226016.0,IN
35,CHENNAI,TAMIL NADU,600033.0,IN
36,NEW DELHI,DELHI,110092.0,IN
37,THIRUVANANTHAPURAM,KERALA,695011.0,IN
38,GREATER NOIDA,UTTAR PRADESH,201306.0,IN
39,JABALPUR,MADHYA PRADESH,482002.0,IN
40,MUMBAI,MAHARASHTRA,400092.0,IN
41,LUCKNOW,UTTAR PRADESH,226017.0,IN
42,MUMBAI,MAHARASHTRA,400076.0,IN
43,KOLKATA,WEST BENGAL,700014.0,IN
44,ONGOLE,ANDHRA PRADESH,523001.0,IN
45,SECUNDERABAD,TELANGANA,500017.0,IN
46,HYDERABAD,TELANGANA,500062.0,IN
47,KEWALPUR,UTTAR PRADESH,271881.0,IN
48,CUTTACK,ODISHA,753012.0,IN
49,BADLAPUR,MAHARASHTRA,421503.0,IN
50,dimapur,NAGALAND,797112.0,IN
51,BENGALURU,KARNATAKA,560047.0,IN
52,BENGALURU,KARNATAKA,560076.0,IN
53,WARANGAL,TELANGANA,506001.0,IN
54,DHAULPUR,RAJASTHAN,328024.0,IN
55,GUWAHATI,ASSAM,781029.0,IN
56,Bengaluru,KARNATAKA,560103.0,IN
57,BENGALURU,KARNATAKA,560023.0,IN
58,NAGPUR,MAHARASHTRA,440022.0,IN
59,THANE,MAHARASHTRA,400607.0,IN
60,Dahod,Gujarat,389151.0,IN
61,RANCHI,JHARKHAND,834004.0,IN
62,PUNE,MAHARASHTRA,411014.0,IN
63,VIJAPURA,KARNATAKA,586201.0,IN
64,CHENNAI,TAMIL NADU,600041.0,IN
65,MUMBAI,MAHARASHTRA,400080.0,IN
66,bangalore,KARNATAKA,560001.0,IN
67,BENGALURU,KARNATAKA,560098.0,IN
68,BERHAMPUR,ODISHA,760002.0,IN
69,HYDERABAD,TELANGANA,500085.0,IN
70,PUNE,MAHARASHTRA,411045.0,IN
71,HIMMATNAGAR,Gujarat,383001.0,IN
72,Kolkata,WEST BENGAL,700048.0,IN
73,HYDERABAD,TELANGANA,502032.0,IN
74,DEHRADUN,UTTARAKHAND,248001.0,IN
75,KOLKATA,WEST BENGAL,700078.0,IN
76,DHARMAPURI,TAMIL NADU,636705.0,IN
77,DEHRADUN,UTTARAKHAND,248005.0,IN
78,JAIPUR,RAJASTHAN,303905.0,IN
79,VADODARA,Gujarat,390019.0,IN
80,CHAVAKKAD,KERALA,680506.0,IN
81,PATNA,BIHAR,800026.0,IN
82,CHENNAI,TAMIL NADU,600028.0,IN
83,VADODARA,Gujarat,390018.0,IN
84,VADODARA,Gujarat,390003.0,IN
85,PUNE,MAHARASHTRA,411046.0,IN
86,Jammu,JAMMU & KASHMIR,180011.0,IN
87,bangalore,KARNATAKA,560026.0,IN
88,NEW DELHI,DELHI,110036.0,IN
89,NARNAUND,HARYANA,125039.0,IN
90,Ahmedabad,Gujarat,380051.0,IN
91,AMBARNATH,MAHARASHTRA,421502.0,IN
92,GWALIOR,MADHYA PRADESH,474005.0,IN
93,NEW DELHI,DELHI,110078.0,IN
94,ROHTAK,HARYANA,124001.0,IN
95,Kolkata,WEST BENGAL,700156.0,IN
96,NEW DELHI,DELHI,110034.0,IN
97,HYDERABAD,TELANGANA,500054.0,IN
98,PATNA,BIHAR,800002.0,IN
99,RAMAGUNDAM,TELANGANA,505211.0,IN
100,PITHORAGARH,UTTARAKHAND,262501.0,IN
101,KOLKATA,WEST BENGAL,700057.0,IN
102,MUMBAI,MAHARASHTRA,400101.0,IN
103,HYDERABAD,TELANGANA,500053.0,IN
104,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,IN
105,KOLAR,KARNATAKA,563101.0,IN
106,PATIALA,PUNJAB,147001.0,IN
107,REWA,MADHYA PRADESH,486001.0,IN
108,BONGAIGAON,ASSAM,783380.0,IN
109,HYDERABAD,TELANGANA,500087.0,IN
110,BENGALURU,KARNATAKA,560055.0,IN
111,Chengalpattu,TAMIL NADU,603002.0,IN
112,PERAMBALUR,TAMIL NADU,621212.0,IN
113,BILASPUR,HIMACHAL PRADESH,174001.0,IN
114,CHENNAI,TAMIL NADU,600099.0,IN
115,VARANASI,UTTAR PRADESH,221010.0,IN
116,BENGALURU,KARNATAKA,560036.0,IN
117,COIMBATORE,TAMIL NADU,641035.0,IN
118,CHIRMIRI,CHHATTISGARH,497449.0,IN
119,AZAMGARH,UTTAR PRADESH,276302.0,IN
120,KALYAN,MAHARASHTRA,421306.0,IN
121,NEW DELHI,DELHI,110016.0,IN
122,GUWAHATI,ASSAM,781026.0,IN
123,MYSORE,KARNATAKA,570008.0,IN
124,BARABANKI,UTTAR PRADESH,225001.0,IN
125,AMILA,UTTAR PRADESH,275301.0,IN
126,VIJAYAWADA,ANDHRA PRADESH,520010.0,IN
127,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331.0,IN
128,HERBERTPUR,UTTARAKHAND,248142.0,IN
129,BENGALURU,KARNATAKA,560048.0,IN
130,KALAMASSERY,KERALA,682021.0,IN
131,Puri-2,ODISHA,752002.0,IN
132,TIKABALI,ODISHA,762010.0,IN
133,BIHARSHARIF,BIHAR,803115.0,IN
134,HYDERABAD,TELANGANA,500075.0,IN
135,PARAVUR,KERALA,683513.0,IN
136,BASTI,UTTAR PRADESH,272001.0,IN
137,WALAJAPET,TAMIL NADU,632513.0,IN
138,Dimapur,NAGALAND,797112.0,IN
139,Bengaluru,KARNATAKA,560029.0,IN
140,Mahendragarh,HARYANA,123027.0,IN
141,HYDERABAD,TELANGANA,500086.0,IN
142,New Delhi,DELHI,110019.0,IN
143,GURUGRAM,HARYANA,122002.0,IN
144,BENGALURU,KARNATAKA,560022.0,IN
145,MUMBAI,MAHARASHTRA,400069.0,IN
146,BIJNOR,UTTAR PRADESH,246722.0,IN
147,MUMBAI,MAHARASHTRA,400078.0,IN
148,ALLAHABAD,UTTAR PRADESH,211001.0,IN
149,VASAI VIRAR,MAHARASHTRA,401202.0,IN
150,BENGALURU,KARNATAKA,560087.0,IN
151,BIJNOR,UTTAR PRADESH,246701.0,IN
152,HYDERABAD,TELANGANA,500090.0,IN
153,BENGALURU,KARNATAKA,560075.0,IN
154,MANGALURU,KARNATAKA,575001.0,IN
155,HYDERABAD,TELANGANA,500034.0,IN
156,NEW TOWN,WEST BENGAL,700059.0,IN
157,MUMBAI,MAHARASHTRA,400016.0,IN
158,SAMBHAL,UTTAR PRADESH,244302.0,IN
159,NAGPUR,MAHARASHTRA,441002.0,IN
160,ELAVANASURKOTTAI,TAMIL NADU,607202.0,IN
161,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410.0,IN
162,MYSURU,KARNATAKA,570016.0,IN
163,ANKLESHWR,Gujarat,393002.0,IN
164,Chennai,TAMIL NADU,600117.0,IN
165,Greater Noida West,UTTAR PRADESH,201009.0,IN
166,JAMMU,JAMMU & KASHMIR,180007.0,IN
167,ITANAGAR,ARUNACHAL PRADESH,791113.0,IN
168,KOLKATA,WEST BENGAL,700075.0,IN
169,KARANJA,MAHARASHTRA,444105.0,IN
170,NIMBAHERA,RAJASTHAN,312620.0,IN
171,Imphal East,MANIPUR,795010.0,IN
172,BIDHAN NAGAR,WEST BENGAL,700064.0,IN
173,BENGALURU,KARNATAKA,560064.0,IN
174,AHMEDABAD,Gujarat,380015.0,IN
175,TIRUCHIRAPPALLI,TAMIL NADU,620001.0,IN
176,BHUBANESWAR,ODISHA,752054.0,IN
177,ALIGARH,UTTAR PRADESH,202001.0,IN
178,KOCHI,KERALA,682006.0,IN
179,GHAZIABAD,UTTAR PRADESH,201014.0,IN
180,PUNE,MAHARASHTRA,412207.0,IN
181,Bangalore,KARNATAKA,560016.0,IN
182,MALAPPURAM,KERALA,676517.0,IN
183,NOIDA,UTTAR PRADESH,201301.0,IN
184,GREATER NOIDA,UTTAR PRADESH,201308.0,IN
