product_id,SKU,Category,Style,Size
1,SET389-KR-NP-S,Set,SET389,S
2,JNE3781-KR-XXXL,kurta,JNE3781,3XL
3,JNE3371-KR-XL,kurta,JNE3371,XL
4,J0341-DR-L,Western Dress,J0341,L
5,JNE3671-TU-XXXL,Top,JNE3671,3XL
6,SET264-KR-NP-XL,Set,SET264,XL
7,J0095-SET-L,Set,J0095,L
8,JNE3405-KR-S,kurta,JNE3405,S
9,SET200-KR-NP-A-XXXL,Set,SET200,3XL
10,JNE3461-KR-XXL,kurta,JNE3461,XXL
11,JNE3160-KR-G-S,kurta,JNE3160,S
12,JNE3500-KR-XS,kurta,JNE3500,XS
13,JNE3405-KR-XS,kurta,JNE3405,XS
14,SET182-KR-DH-XS,Set,SET182,XS
15,J0351-SET-L,Set,J0351,L
16,PJNE3368-KR-6XL,kurta,PJNE3368,6XL
17,JNE3721-KR-XXL,kurta,JNE3721,XXL
18,JNE3405-KR-XL,kurta,JNE3405,XL
19,JNE3697-KR-XXL,kurta,JNE3697,XXL
20,SET254-KR-NP-XS,Set,SET254,XS
21,JNE3795-KR-XXXL,kurta,JNE3795,3XL
22,SET345-KR-NP-M,Set,SET345,M
23,JNE3373-KR-L,kurta,JNE3373,L
24,SET291-KR-PP-M,Set,SET291,M
25,MEN5002-KR-L,kurta,MEN5002,L
26,NW030-TP-PJ-XS,Set,NW030,XS
27,JNE3415-KR-XXXL,kurta,JNE3415,3XL
28,PJNE2199-KR-N-4XL,kurta,PJNE2199,4XL
29,JNE3567-KR-M,kurta,JNE3567,M
30,JNE2132-KR-398-XXXL,kurta,JNE2132,3XL
31,J0341-DR-S,Western Dress,J0341,S
32,MEN5009-KR-XL,kurta,MEN5009,XL
33,J0011-LCD-M,Set,J0011,M
34,JNE3766-KR-M,kurta,JNE3766,M
35,JNE3373-KR-XL,kurta,JNE3373,XL
36,MEN5001-KR-XL,kurta,MEN5001,XL
37,SET345-KR-NP-L,Set,SET345,L
38,JNE3787-KR-S,kurta,JNE3787,S
39,JNE3543-KR-S,kurta,JNE3543,S
40,JNE3405-KR-L,kurta,JNE3405,L
41,J0211-DR-XXL,Ethnic Dress,J0211,XXL
42,J0401-DR-XXXL,Western Dress,J0401,3XL
43,JNE2153-KR-278-A-M,kurta,JNE2153,M
44,SET360-KR-NP-M,Set,SET360,M
45,SET268-KR-NP-L,Set,SET268,L
46,SET183-KR-DH-S,Set,SET183,S
47,J0230-SKD-L,Set,J0230,L
48,JNE3744-TU-S,Top,JNE3744,S
49,JNE3510-KR-S,kurta,JNE3510,S
50,JNE3405-KR-M,kurta,JNE3405,M
51,J0186-SET-S,Set,J0186,S
52,J0003-SET-M,Set,J0003,M
53,SET282-KR-PP-M,Set,SET282,M
54,JNE1407-BLACK-KR-UDF18-XL,kurta,JNE1407,XL
55,J0301-TP-L,Top,J0301,L
56,JNE3869-DR-S,Western Dress,JNE3869,S
57,SET324-KR-NP-XS,Set,SET324,XS
58,SET279-LC-S,Set,SET279,S
59,JNE2014-KR-178-XXL,kurta,JNE2014,XXL
60,NW005-ST-PJ-XL,Set,NW005,XL
61,JNE2270-KR-487-A-M,kurta,JNE2270,M
62,JNE3579-KR-M,kurta,JNE3579,M
63,SET347-KR-NP-XS,Set,SET347,XS
64,SET264-KR-NP-M,Set,SET264,M
65,JNE3373-KR-XXL,kurta,JNE3373,XXL
66,SET333-KR-DPT-XXL,Set,SET333,XXL
67,JNE3645-TP-N-L,Top,JNE3645,L
68,SET233-KR-PP-L,Set,SET233,L
69,J0381-SKD-XXXL,Set,J0381,3XL
70,JNE3068-KR-A-XL,kurta,JNE3068,XL
71,JNE3718-KR-M,kurta,JNE3718,M
72,SET386-KR-NP-S,Set,SET386,S
73,JNE3745-KR-XXL,kurta,JNE3745,XXL
74,JNE3467-KR-XL,kurta,JNE3467,XL
75,JNE3721-KR-L,kurta,JNE3721,L
76,JNE3405-KR-XXL,kurta,JNE3405,XXL
77,SET295-KR-NP-XXXL,Set,SET295,3XL
78,JNE3861-DR-XL,Western Dress,JNE3861,XL
79,SET288-KR-NP-XXXL,Set,SET288,3XL
80,SET394-KR-NP-XXXL,Set,SET394,3XL
81,SET397-KR-NP-XXXL,Set,SET397,3XL
82,MEN5002-KR-XXL,kurta,MEN5002,XXL
83,SET377-KR-NP-M,Set,SET377,M
84,JNE3510-KR-M,kurta,JNE3510,M
85,BTM038-PP-XXXL,Bottom,BTM038,3XL
86,J0343-DR-M,Western Dress,J0343,M
87,J0341-DR-XL,Western Dress,J0341,XL
88,J0295-DR-XXL,Western Dress,J0295,XXL
89,JNE3560-KR-M,kurta,JNE3560,M
90,J0333-DR-XXXL,Western Dress,J0333,3XL
91,SET389-KR-NP-M,Set,SET389,M
92,JNE3801-KR-XXXL,kurta,JNE3801,3XL
93,SET098-KR-PP-M,Set,SET098,M
94,MEN5013-KR-L,kurta,MEN5013,L
95,J0003-SET-L,Set,J0003,L
96,JNE3718-KR-XXXL,kurta,JNE3718,3XL
97,SET347-KR-NP-S,Set,SET347,S
98,JNE3391-KR-XXL,kurta,JNE3391,XXL
99,SET277-KR-NP-XXL,Set,SET277,XXL
100,J0293-DR-S,Western Dress,J0293,S
101,SET154-KR-NP-XL,Set,SET154,XL
102,JNE3439-KR-XL,kurta,JNE3439,XL
103,SET291-KR-PP-XL,Set,SET291,XL
104,SET293-KR-NP-M,Set,SET293,M
105,JNE3648-TP-N-M,Top,JNE3648,M
106,JNE3334-KR-M,kurta,JNE3334,M
107,SET331-KR-NP-XS,Set,SET331,XS
108,SET265-KR-NP-S,Set,SET265,S
109,JNE3718-KR-S,kurta,JNE3718,S
110,SET397-KR-NP  -M,Set,SET397,M
111,JNE3861-DR-XXL,Western Dress,JNE3861,XXL
112,J0335-DR-XL,Western Dress,J0335,XL
113,J0335-DR-XXL,Western Dress,J0335,XXL
114,JNE1525-KR-UDF19-A-S,kurta,JNE1525,S
115,JNE3654-TP-XL,Top,JNE3654,XL
116,JNE3261-KR-S,kurta,JNE3261,S
117,SET324-KR-NP-S,Set,SET324,S
118,SET332-KR-PP-S,Set,SET332,S
119,SET324-KR-NP-XXXL,Set,SET324,3XL
120,SET280-KR-PP-S,Set,SET280,S
121,JNE3618-KR-XXL,kurta,JNE3618,XXL
122,SET304-KR-DPT-XS,Set,SET304,XS
123,MEN5032-KR-XXXL,kurta,MEN5032,3XL
124,SET110-KR-PP-XXL,Set,SET110,XXL
125,SET324-KR-NP-M,Set,SET324,M
126,SET269-KR-NP-XXXL,Set,SET269,3XL
127,JNE3794-KR-M,kurta,JNE3794,M
128,JNE3291-KR-XXL,kurta,JNE3291,XXL
129,JNE3440-KR-N-XXXL,kurta,JNE3440,3XL
130,JNE2270-KR-487-A-XXL,kurta,JNE2270,XXL
131,JNE3261-KR-M,kurta,JNE3261,M
132,SET110-KR-PP-M,Set,SET110,M
133,J0300-TP-XXXL,Top,J0300,3XL
134,JNE3810-KR-S,kurta,JNE3810,S
135,JNE3461-KR-XL,kurta,JNE3461,XL
136,JNE3429-KR-XL,kurta,JNE3429,XL
137,JNE3710-DR-S,Western Dress,JNE3710,S
138,J0113-TP-XS,Top,J0113,XS
139,SET355-KR-PP-M,Set,SET355,M
140,J0009-SKD-S,Set,J0009,S
141,J0248-KR-DPT-XL,Set,J0248,XL
142,JNE3560-KR-XL,kurta,JNE3560,XL
143,JNE3373-KR-XXXL,kurta,JNE3373,3XL
144,SET398-KR-PP-L,Set,SET398,L
145,NW032-ST-CP-XXL,Set,NW032,XXL
146,SET361-KR-NP-S,Set,SET361,S
147,JNE3797-KR-L,Western Dress,JNE3797,L
148,JNE3887-KR-XL,kurta,JNE3887,XL
149,JNE3870-DR-XXL,Western Dress,JNE3870,XXL
150,SET345-KR-NP-XS,Set,SET345,XS
151,NW013-ST-SR-L,Set,NW013,L
152,JNE2014-KR-178-XL,kurta,JNE2014,XL
153,JNE3612-KR-S,kurta,JNE3612,S
154,PJNE2100-KR-N-6XL,kurta,PJNE2100,6XL
155,SET398-KR-PP-XXXL,Set,SET398,3XL
156,J0006-SET-M,Ethnic Dress,J0006,M
157,JNE3437-KR-S,kurta,JNE3437,S
158,JNE3465-KR-S,kurta,JNE3465,S
159,J0373-KR-XXXL,kurta,J0373,3XL
160,J0344-TP-XXXL,Top,J0344,3XL
161,J0118-TP-XXL,Top,J0118,XXL
162,SET200-KR-NP-A-XS,Set,SET200,XS
163,JNE1998-KR-311-XXL,kurta,JNE1998,XXL
164,MEN5004-KR-XXXL,kurta,MEN5004,3XL
165,SET345-KR-NP-XXL,Set,SET345,XXL
166,JNE3654-TP-L,Top,JNE3654,L
167,J0344-TP-L,Top,J0344,L
168,J0334-TP-L,Top,J0334,L
169,J0230-SKD-S,Set,J0230,S
