order_id,date_id,customer_id,product_id,fulfillment_id,promotion_id,status_id,courier_status_id,quantity,amount,currency,B2B,fulfilled-by
405-8078784-5731545,1,1,1,1,1,1,1,0,647.62,INR,False,Easy Ship
171-9198151-1101146,1,2,2,1,2,2,2,1,406.0,INR,False,Easy Ship
403-9615377-8133951,1,4,4,1,1,1,1,0,753.33,INR,False,Easy Ship
406-7807733-3785945,1,8,8,1,4,2,2,1,399.0,INR,False,Easy Ship
405-5513694-8146768,1,12,13,1,5,2,2,1,399.0,INR,False,Easy Ship
408-1298370-1920302,1,13,15,1,6,2,2,1,771.0,INR,False,Easy Ship
403-4965581-9520319,1,14,16,1,7,2,2,1,544.0,INR,False,Easy Ship
402-4030358-5835511,1,17,19,1,8,2,2,1,458.0,INR,False,Easy Ship
404-6019946-2909948,1,22,24,1,1,1,1,0,570.48,INR,False,Easy Ship
405-8191138-5176316,1,24,26,1,9,2,2,1,582.0,INR,False,Easy Ship
403-9230474-9657916,1,25,27,1,5,2,2,1,299.0,INR,False,Easy Ship
404-9632124-1107550,1,31,33,1,9,2,2,1,1233.0,INR,False,Easy Ship
402-1465437-0579556,1,32,34,1,4,2,2,1,517.0,INR,False,Easy Ship
402-2764952-1492318,1,34,36,1,6,2,2,1,499.0,INR,False,Easy Ship
406-7398201-3869914,1,40,43,1,5,2,2,1,424.0,INR,False,Easy Ship
171-9208368-0157156,1,47,50,1,10,2,2,1,399.0,INR,False,Easy Ship
171-2592464-6846743,1,57,60,1,4,2,2,1,599.0,INR,False,Easy Ship
405-9966506-3155561,1,64,70,1,11,2,2,1,696.0,INR,False,Easy Ship
407-2189901-7515567,1,66,72,1,4,2,2,1,631.0,INR,False,Easy Ship
406-1326801-8886709,1,68,74,1,12,2,2,1,362.0,INR,False,Easy Ship
404-6522553-9345930,1,74,83,1,1,1,1,0,1105.36,INR,False,Easy Ship
407-6599093-6553153,1,75,85,1,13,2,2,1,377.0,INR,False,Easy Ship
403-1162895-2484367,1,78,88,1,4,2,2,1,859.0,INR,False,Easy Ship
405-1879750-2639521,1,82,92,1,6,2,2,1,725.0,INR,False,Easy Ship
408-7698765-2294756,1,91,99,1,8,2,2,1,1338.0,INR,False,Easy Ship
404-1856281-9996319,1,92,100,1,14,2,2,1,472.0,INR,False,Easy Ship
405-5257740-5301158,1,94,101,1,6,2,2,1,832.0,INR,False,Easy Ship
405-5257740-5301158,1,94,102,1,6,2,2,1,399.0,INR,False,Easy Ship
403-7266170-1163500,1,42,105,1,4,2,2,1,518.0,INR,False,Easy Ship
406-8961316-8137943,1,104,117,1,15,2,2,1,597.0,INR,False,Easy Ship
406-8961316-8137943,1,104,118,1,15,2,2,1,549.0,INR,False,Easy Ship
405-4908072-0260360,1,110,123,1,9,2,2,1,579.0,INR,False,Easy Ship
408-1482435-5202714,1,118,132,1,12,2,2,1,788.0,INR,False,Easy Ship
171-0131752-2560336,1,124,139,1,7,2,2,1,1399.0,INR,False,Easy Ship
407-4235449-1353916,1,125,140,1,10,2,2,1,999.0,INR,False,Easy Ship
404-6513062-3876305,1,19,143,1,15,2,2,1,376.0,INR,False,Easy Ship
407-9863928-5979501,1,135,152,1,16,2,2,1,353.0,INR,False,Easy Ship
